Sno,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,
31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,Chennai,34,4,
32,2214217,No,4,30,E2,-2.17,-2.17,0,No,No,Female,Employee Referral,5,Chennai,33,1,
33,2214446,No,38,45,E2,42.11,42.11,0,No,No,Male,Direct,13,Chennai,25,4,
37,2221643,No,0,30,E3,-14.91,-14.91,0,No,Yes,Male,Employee Referral,15,Noida,44,2,
38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,Hyderabad,23,1,
39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,Chennai,29,2,
40,2222936,Yes,10,60,E3,25,29.17,3.33,No,No,Male,Employee Referral,6,Noida,32,2,
41,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,Bangalore,30,7,
43,2224425,No,0,0,E3,89.58,89.58,0,No,No,Male,Direct,20,Bangalore,44,1,
44,2224426,Yes,5,0,E2,28.57,28.57,0,Yes,Yes,Male,Employee Referral,6,Bangalore,33,7,
45,2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,Noida,41,2,
46,2226215,No,4,30,E1,-14.58,-14.58,0,No,No,Male,Direct,2,Noida,28,2,
47,2227339,Yes,46,30,E3,22.22,260,194.55,No,No,Male,Employee Referral,13,Chennai,36,1,
48,2227431,Yes,2,75,E3,42.85,42.85,0,No,Yes,Male,Employee Referral,8,Noida,30,2,
49,2233506,No,1,90,E2,42.85,42.85,0,No,No,Male,Employee Referral,6,Noida,31,2,
51,2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,Noida,32,2,
52,2237899,Yes,4,0,E2,42.86,42.86,0,No,No,Female,Employee Referral,10,Noida,34,2,
53,2238751,Yes,54,60,E3,35,31,-2.96,No,No,Male,Employee Referral,9,Noida,34,2,
54,2238809,No,33,75,E3,31.82,31.82,0,No,No,Male,Employee Referral,7,Noida,20,2,
56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,Noida,30,2,
58,2281509,No,1,30,E2,42.86,42.86,0,Yes,No,Male,Employee Referral,4,Gurgaon,28,2,
61,2282688,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,Chennai,25,1,
62,2282703,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,Chennai,25,1,
64,2283257,No,2,0,E2,49.89,49.89,0,No,Yes,Male,Direct,8,Chennai,34,2,
65,2286200,Yes,5,120,E1,42.86,0,-30,No,No,Male,Direct,5,Noida,28,7,
66,2286297,Yes,105,120,E1,-16.67,-16.67,0,No,No,Female,Direct,3,Kolkata,34,7,
67,2286317,No,1,60,E3,25,20.83,-3.33,No,No,Male,Employee Referral,6,Noida,31,2,
68,2286381,Yes,14,30,,-12.5,-12.5,0,No,No,Male,Direct,3,Kolkata,31,7,
69,2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,Noida,26,7,
70,2286651,Yes,17,30,E2,40,15,-17.86,No,No,Female,Direct,9,Gurgaon,37,5,
71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,Bangalore,29,6,
72,2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,Chennai,26,1,
73,2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,Noida,33,2,
74,2302202,Yes,7,30,E2,42.86,42.86,0,No,No,Male,Direct,6,Hyderabad,32,2,
76,2322849,Yes,19,60,E2,50,30.5,-13,No,No,Male,Agency,10,Chennai,33,1,
77,2322986,Yes,84,60,E2,42.86,42.86,0,No,No,Male,Agency,9,Chennai,33,1,
78,2328123,No,28,30,E1,233.33,233.33,0,No,No,Male,Direct,3,Bangalore,30,6,
80,2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,Chennai,33,1,
84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,Chennai,27,1,
86,2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,Chennai,29,1,
87,2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,Chennai,30,1,
88,2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,Chennai,37,8,
89,2351866,Yes,10,30,E1,-15.32,-15.32,0,No,No,Male,Employee Referral,5,Bangalore,29,6,
90,2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,Noida,25,2,
92,2352237,No,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,Noida,24,2,
94,2354362,Yes,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,Noida,23,2,
96,2356737,No,16,30,E1,0,-30.46,-30.46,No,No,Male,Direct,1,Bangalore,24,1,
98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,Bangalore,31,4,
99,2364321,Yes,90,45,E3,150,48.5,-40.6,No,No,Female,Direct,10,Bangalore,36,1,
100,2364483,Yes,14,30,E1,-13.33,-13.33,0,No,No,Male,Direct,2,Noida,29,2,
101,2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,Chennai,32,2,
102,2365129,No,4,30,,42.86,42.86,0,No,No,Male,Direct,2,Cochin,24,2,
103,2368400,No,0,30,E1,-6.25,-6.25,0,No,No,Male,Direct,0,Chennai,32,6,
104,2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,Chennai,28,1,
106,2372840,Yes,21,30,E1,-25.52,-25.52,0,No,No,Male,Direct,1,Chennai,23,2,
108,2377978,No,36,30,E1,77.78,94.44,9.38,No,No,Male,Direct,1,Bangalore,24,1,
109,2377993,No,17,30,E1,150,250,40,No,No,Female,Direct,1,Bangalore,27,1,
110,2378003,No,0,30,E1,25,62.5,30,No,No,Male,Direct,2,Bangalore,27,1,
112,2378097,Yes,34,30,E1,75,75,0,No,No,Male,Direct,2,Chennai,25,1,
113,2378111,No,34,30,E1,0,32.81,32.81,No,No,Male,Direct,3,Bangalore,29,1,
114,2378829,No,0,30,E2,42.86,42.86,0,No,No,Male,Direct,3,Bangalore,29,2,
115,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,Chennai,41,8,
116,2383202,No,13,30,E1,50,50,0,No,No,Female,Agency,3,Hyderabad,32,1,
117,2398717,No,2,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,Bangalore,33,1,
118,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,Chennai,32,1,
119,2403871,No,1,30,E1,-45.81,-45.81,0,No,No,Male,Direct,1,Hyderabad,26,2,
120,2407721,Yes,6,30,E1,12.5,-53.75,-58.89,No,No,Male,Agency,1,Chennai,27,1,
121,2416792,Yes,8,60,E2,33.33,26.67,-5,No,No,Male,Direct,7,Chennai,29,1,
123,2417836,Yes,42,45,E2,7.37,7.37,0,No,No,Male,Employee Referral,4,Bangalore,26,7,
124,2419759,Yes,12,60,E1,208.33,208.33,0,No,No,Male,Direct,2,Chennai,29,1,
125,2424526,Yes,16,90,E2,11.11,-22.22,-30,No,No,Male,Agency,9,Chennai,30,1,
128,2437820,Yes,14,60,E3,31.43,20,-8.7,No,No,Male,Employee Referral,4,Noida,29,2,
129,2440646,Yes,103,45,E2,42.86,42.86,0,No,No,Male,Direct,6,Bangalore,35,6,
130,2440672,Yes,69,45,E2,62.5,62.5,0,No,No,Male,Direct,9,Hyderabad,36,6,
131,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,Hyderabad,29,6,
132,2441165,No,7,30,E2,30,60,23.08,No,No,Male,Agency,4,Chennai,31,2,
133,2441279,No,2,60,E2,32.53,19.28,-10,No,No,Male,Employee Referral,6,Bangalore,31,4,
134,2442101,Yes,38,45,E2,42.86,42.86,0,No,No,Male,Employee Referral,3,Noida,27,2,
135,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,Chennai,25,8,
136,2444496,Yes,60,60,E2,38.89,11.11,-20,No,No,Male,Direct,6,Bangalore,31,6,
137,2445042,No,3,30,E2,42.86,42.86,0,No,No,Male,Direct,5,Noida,27,2,
139,2452418,Yes,32,30,,45.3,19.66,-17.65,No,Yes,Male,Agency,7,Bangalore,30,6,
140,2452436,Yes,23,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,Bangalore,34,1,
142,2457480,Yes,67,60,E3,25,32.68,6.14,No,No,Male,Agency,6,Noida,33,2,
143,2458879,No,5,30,E0,22.22,-60,-67.27,No,No,Female,Direct,1,Noida,27,1,
145,2461027,No,42,60,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,Noida,30,2,
146,2461696,No,8,30,E1,-30,0,42.86,No,No,Male,Employee Referral,7,Bangalore,30,1,
147,2464247,No,7,30,E2,28.3,28.3,0,No,No,Male,Agency,7,Chennai,29,2,
148,2464457,Yes,5,30,E1,208.33,150,-18.92,No,No,Male,Agency,3,Bangalore,28,1,
149,2464782,No,10,30,E3,-25,-20.39,6.14,No,No,Male,Agency,13,Chennai,50,2,
150,2468663,No,5,30,E1,51.52,66.67,10,No,No,Male,Direct,1,Bangalore,25,1,
151,2468764,No,5,30,E1,51.52,70.45,12.5,No,No,Male,Direct,2,Bangalore,24,1,
152,2473555,No,12,30,E2,42.86,42.86,0,No,No,Male,Employee Referral,4,Noida,31,2,
153,2474614,No,15,0,E3,-11.97,-11.97,0,No,Yes,Male,Employee Referral,11,Chennai,35,1,
154,2474728,Yes,45,60,E2,25,18.75,-5,No,No,Male,Direct,7,Bangalore,35,4,
155,2474750,No,10,30,E1,250,250,0,No,No,Male,Direct,1,Chennai,23,1,
158,2478398,Yes,7,30,E2,323.08,314.53,-2.02,No,No,Male,Agency,4,Noida,31,2,
160,2478695,Yes,7,30,E1,25,17.19,-6.25,No,No,Male,Employee Referral,7,Bangalore,31,1,
161,2479005,Yes,36,30,E1,133.33,75,-25,No,No,Female,Agency,3,Chennai,27,1,
162,2480992,No,2,30,E2,30,44,10.77,No,No,Male,Direct,7,Noida,31,2,
163,2481514,No,1,0,E1,-14.44,22.22,42.86,No,No,Female,Employee Referral,5,Chennai,30,1,
164,2483538,Yes,25,30,E2,-48.05,42.86,175,No,No,Male,Direct,5,Noida,30,2,
165,2537835,No,6,30,E2,-40.82,-15.45,42.86,No,No,Male,Agency,6,Chennai,29,1,
166,2537925,Yes,47,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,Noida,34,2,
167,2537986,Yes,21,30,E3,25,31.25,5,No,No,Female,Employee Referral,16,Kolkata,40,2,
169,2544512,Yes,11,30,E2,30,80,38.46,No,No,Male,Agency,4,Chennai,33,2,
170,2556458,No,4,30,E1,-11.56,-11.56,0,No,No,Female,Employee Referral,1,Noida,24,2,
172,2561022,No,7,30,E1,242.86,42.86,-58.33,No,No,Male,Direct,1,Noida,30,2,
173,2561128,No,5,30,E1,42.86,-7.14,-35,No,No,Male,Direct,6,Gurgaon,32,3,
175,2564986,No,4,30,E2,42.86,42.86,0,No,No,Male,Agency,5,Noida,37,2,
177,2569520,No,5,30,,-48.25,-48.25,0,No,No,Male,Employee Referral,9,Chennai,31,2,
178,2575776,No,11,30,E1,327.35,241.88,-20,No,No,Male,Direct,3,Chennai,26,1,
179,2576352,No,1,30,E2,42.86,42.86,0,No,No,Male,Direct,8,Chennai,31,2,
180,2586163,No,2,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,Chennai,28,1,
181,2586868,Yes,48,30,E3,30,80,38.46,No,No,Male,Direct,7,Bangalore,31,2,
182,2590178,Yes,74,90,E1,40.15,-1.52,-29.73,No,Yes,Male,Direct,8,Bangalore,35,1,
183,2590903,Yes,4,30,E2,3.34,3.34,0,No,No,Female,Direct,6,Chennai,31,8,
185,2591263,No,3,30,E3,-24.24,-24.24,0,No,No,Male,Direct,13,Chennai,36,2,
187,2591495,No,31,30,E1,-25.71,42.86,92.31,No,Yes,Male,Employee Referral,3,Chennai,27,1,
188,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,Chennai,26,1,
189,2594486,Yes,30,30,E2,-28.57,42.86,100,No,No,Male,Direct,5,Chennai,33,2,
190,2594579,No,1,30,E1,-14.97,42.86,68,No,No,Female,Direct,2,Gurgaon,27,2,
191,2598011,Yes,8,30,E2,-24.81,42.86,90,No,No,Male,Direct,5,Chennai,36,2,
192,2598184,No,3,45,E1,79.17,79.17,0,No,No,Female,Direct,3,Noida,27,5,
193,2600880,No,0,30,E3,80.95,52.38,-15.79,No,No,Male,Employee Referral,13,Bangalore,37,4,
195,2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,Noida,25,1,
196,2609241,No,44,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,Bangalore,33,4,
197,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,Bangalore,33,1,
198,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,Bangalore,33,1,
199,2613742,No,40,30,E1,233.33,233.33,0,No,No,Female,Agency,3,Bangalore,26,4,
200,2615966,No,11,30,E1,-29.2,-29.2,0,No,No,Female,Employee Referral,3,Hyderabad,26,5,
201,2618791,No,1,30,E2,33.33,20,-10,No,No,Female,Direct,6,Noida,37,7,
203,2635381,Yes,20,30,E1,71.43,50,-12.5,No,No,Male,Employee Referral,3,Bangalore,27,1,
204,2635429,No,1,30,E1,42.86,42.86,0,No,No,Male,Employee Referral,3,Noida,34,2,
205,2635526,Yes,7,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,4,Noida,27,2,
206,2635705,Yes,15,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,Chennai,33,1,
208,2635749,No,35,30,E1,215.32,170.27,-14.29,No,No,Male,Direct,3,Chennai,26,1,
210,2778998,No,17,30,E1,233.33,191.67,-12.5,No,No,Male,Agency,4,Chennai,27,1,
211,2780352,Yes,58,30,E3,30.43,30.43,0,No,No,Male,Agency,10,Bangalore,34,1,
213,2780669,Yes,29,60,,33.33,266.67,175,No,No,Male,Agency,9,Noida,32,1,
215,2780903,Yes,69,90,E2,32.53,32.53,0,No,No,Male,Direct,3,Noida,26,2,
216,2781322,Yes,6,90,E2,-11.69,-11.69,0,No,No,Male,Employee Referral,7,Chennai,32,4,
217,2786502,No,0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,Noida,34,2,
218,2790302,Yes,1,30,E3,-12.2,-12.2,0,No,No,Male,Employee Referral,10,Hyderabad,36,2,
219,2793776,No,7,90,E2,43.79,36.6,-5,No,No,Male,Agency,7,Bangalore,32,4,
221,2794614,No,0,30,E2,72.41,72.41,0,No,No,Male,Agency,4,Bangalore,32,2,
222,2795222,Yes,7,30,E2,-24.6,-24.6,0,No,No,Male,Direct,5,Chennai,31,4,
223,2802356,No,1,30,E1,37.5,-50,-63.64,No,No,Male,Employee Referral,1,Noida,24,2,
224,2804650,Yes,17,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,Bangalore,27,1,
227,2807929,No,86,30,E1,-13.19,-13.19,0,No,No,Male,Direct,3,Chennai,28,4,
228,2814312,Yes,51,90,E2,42.84,42.84,0,No,No,Male,Agency,6,Noida,29,2,
229,2814340,Yes,29,45,E3,37.06,31.58,-4,No,No,Male,Employee Referral,5,Chennai,32,2,
230,2814452,Yes,1,30,E2,37.5,35,-1.82,No,No,Male,Employee Referral,3,Bangalore,30,2,
231,2819665,Yes,26,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,8,Noida,31,2,
232,2819712,Yes,0,30,E2,15.38,15.38,0,No,No,Male,Direct,10,Bangalore,36,8,
233,2823905,No,50,60,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,5,Noida,29,2,
234,2824103,Yes,39,30,E1,-31.06,-1.52,42.86,No,No,Male,Agency,5,Hyderabad,29,1,
235,2826712,Yes,57,60,E2,34.62,25,-7.14,No,No,Male,Employee Referral,7,Noida,31,2,
236,2828770,No,0,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,Chennai,26,2,
237,2828841,No,10,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,4,Noida,29,2,
239,2834484,Yes,0,30,E1,-12,-12,0,No,No,Male,Agency,1,Gurgaon,24,2,
240,2834603,No,3,90,E1,-16.67,-16.67,0,No,No,Male,Direct,4,Chennai,27,4,
241,2839728,No,5,60,E2,-17.07,-14.63,2.94,No,No,Male,Employee Referral,12,Noida,31,2,
242,2840929,Yes,32,30,E2,57.14,114.29,36.36,No,No,Male,Direct,4,Chennai,27,2,
243,2841169,Yes,93,90,E2,44.44,33.33,-7.69,No,Yes,Male,Employee Referral,3,Chennai,28,2,
244,2845533,Yes,30,30,E1,-16.3,19.57,42.86,No,No,Male,Agency,3,Hyderabad,25,1,
245,2845929,Yes,55,30,,37.5,25,-9.09,No,Yes,Female,Employee Referral,3,Bangalore,25,2,
246,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,Hyderabad,32,1,
248,2850795,No,12,30,E1,-54.04,-34.34,42.86,No,Yes,Male,Employee Referral,6,Chennai,44,4,
249,2850802,No,3,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,Chennai,29,1,
251,2861481,No,3,30,E1,114.29,90.48,-11.11,No,No,Male,Agency,3,Chennai,26,1,
252,2861532,No,23,30,E1,212.5,160.42,-16.67,No,Yes,Male,Agency,2,Chennai,30,1,
254,2861816,No,11,60,E2,69.68,58.37,-6.67,No,No,Male,Direct,6,Chennai,34,1,
255,2861873,No,0,30,E2,-36.36,-36.36,0,No,No,Male,Direct,9,Chennai,32,7,
256,2861938,Yes,3,60,E3,35,45,7.41,No,No,Male,Direct,8,Pune,30,2,
257,2863789,No,1,30,E2,29.41,35.29,4.55,No,No,Male,Employee Referral,6,Noida,33,7,
258,2865940,Yes,71,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,6,Noida,30,2,
260,2866433,Yes,40,60,E2,57.14,39.29,-11.36,No,No,Female,Direct,7,Bangalore,32,4,
262,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,Bangalore,34,4,
263,2930426,Yes,5,45,E1,-25,-43.75,-25,Yes,No,Male,Direct,2,Chennai,27,1,
265,2945577,No,56,90,E2,66.08,55,-6.67,No,No,Male,Agency,8,Bangalore,30,4,
267,3029497,No,1,30,E2,50,58.33,5.56,No,No,Male,Direct,3,Noida,27,2,
268,3029512,Yes,2,60,E2,42.86,42.86,0,No,No,Female,Direct,8,Chennai,31,2,
269,3030928,Yes,15,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,5,Noida,30,2,
271,3034334,Yes,37,30,E1,180.9,124.72,-20,No,No,Female,Agency,3,Chennai,26,1,
272,3034476,Yes,6,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,Noida,32,2,
274,3034980,No,0,30,E2,36.36,60,17.33,No,No,Male,Direct,6,Bangalore,32,2,
275,3037418,No,40,30,E1,56.86,27.45,-18.75,No,No,Male,Direct,4,Bangalore,34,7,
277,3040819,No,18,30,E1,280.95,280.95,0,No,No,Male,Direct,2,Chennai,26,1,
279,3046539,No,12,30,E1,170.27,75.68,-35,No,No,Male,Employee Referral,2,Bangalore,29,1,
280,3046652,Yes,1,60,E1,60,26,-21.25,No,No,Male,Agency,4,Noida,28,1,
282,3108736,Yes,5,30,E3,42.59,42.59,0,No,No,Male,Employee Referral,9,Noida,42,2,
283,3110300,Yes,15,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,Others,26,2,
284,3120254,Yes,39,90,E2,46.24,46.24,0,No,No,Male,Agency,6,Chennai,37,1,
285,3188371,Yes,1,30,E1,44.44,-41.33,-59.38,No,No,Female,Employee Referral,1,Noida,24,2,
286,3200275,No,12,30,E2,48.15,33.33,-10,Yes,Yes,Male,Agency,4,Hyderabad,26,1,
287,3200724,No,18,60,E2,45.45,39.39,-4.17,Yes,No,Male,Direct,8,Noida,32,6,
288,3203880,No,7,30,E1,114.29,117.86,1.67,No,No,Male,Employee Referral,2,Bangalore,25,1,
290,3204472,Yes,24,30,E1,-33.33,-38.89,-8.33,No,No,Male,Employee Referral,6,Chennai,26,1,
291,3211382,No,4,30,,42.85,42.85,0,No,No,Male,Agency,4,Bangalore,30,2,
292,3211556,Yes,66,60,E3,-19.23,15.38,42.86,No,No,Male,Employee Referral,13,Noida,35,1,
293,3215106,Yes,4,30,E1,203.51,184.54,-6.25,No,No,Male,Direct,1,Chennai,26,1,
294,3215514,No,3,30,E1,-38.4,-12,42.86,No,No,Male,Employee Referral,3,Chennai,28,4,
295,3215757,Yes,21,30,E1,233.33,127.27,-31.82,No,No,Male,Agency,5,Chennai,27,1,
296,3221299,Yes,68,30,E2,44.44,0,-30.77,No,Yes,Female,Direct,3,Hyderabad,24,2,
298,3225344,Yes,3,30,E3,32.78,28.63,-3.13,No,Yes,Male,Agency,12,Bangalore,35,4,
300,3225955,Yes,62,30,E1,40.68,34.69,-4.26,No,No,Male,Employee Referral,4,Chennai,27,1,
301,3225969,Yes,15,30,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,5,Chennai,30,2,
303,3226137,Yes,31,30,E1,40.68,-10.21,-36.17,No,No,Male,Direct,2,Chennai,27,1,
304,3226180,Yes,84,45,E2,42.84,42.84,0,No,No,Male,Direct,5,Hyderabad,35,2,
306,3229762,No,42,30,E1,50.5,99,32.23,No,No,Male,Agency,3,Mumbai,27,4,
307,3234247,No,17,60,E3,57.14,257.14,127.27,No,No,Male,Direct,8,Bangalore,35,2,
310,3238748,No,0,90,E3,-21.54,-21.54,0,No,No,Male,Direct,13,Chennai,40,1,
311,3239288,No,10,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,Noida,27,2,
312,3243075,Yes,8,30,E2,-3.23,-3.23,0,No,No,Female,Agency,6,Chennai,29,1,
313,3244438,Yes,55,60,E3,42.85,42.85,0,No,No,Male,Employee Referral,6,Noida,32,2,
314,3245861,Yes,25,30,E2,42.85,42.85,0,No,Yes,Male,Employee Referral,4,Chennai,28,2,
315,3245971,Yes,10,30,E1,27.78,20,-6.09,No,No,Female,Employee Referral,2,Chennai,26,1,
316,3250021,No,3,30,E1,-20.63,42.86,80,No,Yes,Male,Agency,1,Chennai,24,1,
317,3250029,Yes,1,30,E1,-35.45,-7.79,42.86,No,No,Male,Agency,3,Chennai,26,1,
318,3250143,Yes,50,30,E1,-27.78,-27.78,0,No,No,Female,Agency,8,Chennai,33,3,
320,3250941,No,2,45,E2,37.36,30.49,-5,No,No,Male,Agency,7,Chennai,32,4,
321,3251306,No,28,30,E2,42.84,42.84,0,No,Yes,Male,Employee Referral,7,Chennai,37,2,
322,3256827,Yes,26,30,E1,26.37,61.69,27.95,No,Yes,Male,Agency,3,Noida,27,4,
323,3257382,Yes,40,60,E1,45,47.5,1.72,No,No,Male,Direct,4,Noida,28,5,
324,3257556,Yes,26,30,E2,42.85,42.85,0,No,No,Male,Employee Referral,6,Noida,30,2,
325,3257972,No,13,60,E1,-22.13,11.25,42.86,No,No,Male,Agency,2,Noida,25,5,
326,3258076,No,1,30,E1,-68.83,24.68,300,No,No,Male,Agency,3,Chennai,24,1,
327,3258078,No,3,30,E1,306.25,168.75,-33.85,No,No,Male,Agency,9,Chennai,36,1,
328,3258105,Yes,3,30,E1,-39.64,42.86,136.67,No,No,Male,Agency,1,Chennai,27,1,
329,3258125,Yes,5,30,E1,359.77,244.83,-25,No,No,Male,Direct,3,Chennai,26,1,
331,3262701,Yes,7,30,E1,212.5,212.5,0,No,No,Female,Agency,2,Chennai,25,1,
332,3263017,Yes,9,30,E2,33.33,16.67,-12.5,No,No,Male,Direct,10,Chennai,35,1,
333,3264071,Yes,40,30,E3,-30.43,-28.26,3.13,No,No,Male,Direct,13,Chennai,36,3,
334,3267491,No,1,30,E1,80.56,69.44,-6.15,No,No,Male,Employee Referral,1,Bangalore,30,1,
336,3267878,No,28,60,E1,291.3,165.22,-32.22,No,No,Male,Agency,3,Chennai,28,4,
338,3267960,Yes,64,60,E2,42.84,42.84,0,No,No,Male,Employee Referral,7,Chennai,35,2,
339,3272381,Yes,107,30,E1,43.59,41.03,-1.79,No,No,Male,Direct,4,Bangalore,26,1,
340,3278272,Yes,27,30,E3,42.85,42.85,0,No,Yes,Male,Employee Referral,8,Chennai,33,2,
