,Sno,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,Status,LOB
15,18,2162487,No,1,30,E3,-27.31,-27.31,0.0,No,No,Male,Direct,18,Bangalore,34.0,6,Joined,ETS
16,19,2166041,Yes,98,30,E2,50.0,165.36,76.91,No,No,Male,Agency,8,Noida,36.0,2,Not Joined,INFRA
17,20,2172982,No,1,0,E2,30.0,30.0,0.0,No,No,Male,Direct,6,Noida,34.0,2,Joined,INFRA
18,21,2173730,No,1,30,E1,-13.42,42.86,65.0,No,No,Male,Direct,1,Gurgaon,34.0,2,Joined,INFRA
19,22,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,Noida,34.0,1,Joined,ERS
20,23,2175323,No,1,0,E3,42.78,42.78,0.0,No,Yes,Male,Employee Referral,8,Chennai,29.0,2,Joined,INFRA
21,24,2184108,No,0,30,E1,37.5,37.5,0.0,No,No,Female,Employee Referral,3,Chennai,30.0,1,Joined,ERS
22,25,2188014,No,1,0,E2,42.86,42.86,0.0,No,No,Male,Direct,5,Noida,30.0,2,Joined,INFRA
23,26,2191237,Yes,83,60,E2,25.0,25.0,0.0,No,No,Male,Direct,5,Noida,30.0,7,Joined,AXON
24,27,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,Noida,31.0,2,Joined,INFRA
25,28,2205244,No,16,60,E1,41.18,0.0,-29.17,No,No,Male,Direct,7,Noida,31.0,7,Not Joined,AXON
26,29,2205496,Yes,32,120,E3,50.97,57.0,4.0,No,No,Male,Direct,13,Chennai,40.0,1,Joined,ERS
27,30,2207823,Yes,19,30,,42.85,42.85,0.0,No,No,Male,Direct,7,Noida,28.0,2,Joined,INFRA
28,31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,Chennai,34.0,4,Not Joined,BFSI
29,32,2214217,No,4,30,E2,-2.17,-2.17,0.0,No,No,Female,Employee Referral,5,Chennai,33.0,1,Joined,ERS
30,33,2214446,No,38,45,E2,42.11,42.11,0.0,No,No,Male,Direct,13,Chennai,25.0,4,Joined,BFSI
31,37,2221643,No,0,30,E3,-14.91,-14.91,0.0,No,Yes,Male,Employee Referral,15,Noida,44.0,2,Joined,INFRA
32,38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,Hyderabad,23.0,1,Not Joined,ERS
33,39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,Chennai,29.0,2,Not Joined,INFRA
34,40,2222936,Yes,10,60,E3,25.0,29.17,3.33,No,No,Male,Employee Referral,6,Noida,32.0,2,Joined,INFRA
35,41,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,Bangalore,30.0,7,Joined,AXON
36,43,2224425,No,0,0,E3,89.58,89.58,0.0,No,No,Male,Direct,20,Bangalore,44.0,1,Joined,ERS
37,44,2224426,Yes,5,0,E2,28.57,28.57,0.0,Yes,Yes,Male,Employee Referral,6,Bangalore,33.0,7,Joined,AXON
38,45,2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,Noida,41.0,2,Joined,INFRA
39,46,2226215,No,4,30,E1,-14.58,-14.58,0.0,No,No,Male,Direct,2,Noida,28.0,2,Joined,INFRA
40,47,2227339,Yes,46,30,E3,22.22,260.0,194.55,No,No,Male,Employee Referral,13,Chennai,36.0,1,Not Joined,ERS
41,48,2227431,Yes,2,75,E3,42.85,42.85,0.0,No,Yes,Male,Employee Referral,8,Noida,30.0,2,Joined,INFRA
42,49,2233506,No,1,90,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,6,Noida,31.0,2,Joined,INFRA
43,51,2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,Noida,32.0,2,Joined,INFRA
44,52,2237899,Yes,4,0,E2,42.86,42.86,0.0,No,No,Female,Employee Referral,10,Noida,34.0,2,Joined,INFRA
45,53,2238751,Yes,54,60,E3,35.0,31.0,-2.96,No,No,Male,Employee Referral,9,Noida,34.0,2,Not Joined,INFRA
46,54,2238809,No,33,75,E3,31.82,31.82,0.0,No,No,Male,Employee Referral,7,Noida,20.0,2,Not Joined,INFRA
47,56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,Noida,30.0,2,Not Joined,INFRA
48,58,2281509,No,1,30,E2,42.86,42.86,0.0,Yes,No,Male,Employee Referral,4,Gurgaon,28.0,2,Joined,INFRA
49,61,2282688,No,4,30,E1,233.33,150.0,-25.0,No,No,Female,Direct,1,Chennai,25.0,1,Joined,ERS
50,62,2282703,No,4,30,E1,233.33,150.0,-25.0,No,No,Female,Direct,1,Chennai,25.0,1,Joined,ERS
51,64,2283257,No,2,0,E2,49.89,49.89,0.0,No,Yes,Male,Direct,8,Chennai,34.0,2,Joined,INFRA
52,65,2286200,Yes,5,120,E1,42.86,0.0,-30.0,No,No,Male,Direct,5,Noida,28.0,7,Not Joined,AXON
53,66,2286297,Yes,105,120,E1,-16.67,-16.67,0.0,No,No,Female,Direct,3,Kolkata,34.0,7,Joined,AXON
54,67,2286317,No,1,60,E3,25.0,20.83,-3.33,No,No,Male,Employee Referral,6,Noida,31.0,2,Joined,INFRA
55,68,2286381,Yes,14,30,,-12.5,-12.5,0.0,No,No,Male,Direct,3,Kolkata,31.0,7,Joined,AXON
56,69,2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,Noida,26.0,7,Joined,AXON
57,70,2286651,Yes,17,30,E2,40.0,15.0,-17.86,No,No,Female,Direct,9,Gurgaon,37.0,5,Joined,CSMP
58,71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,Bangalore,29.0,6,Not Joined,ETS
59,72,2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,Chennai,26.0,1,Joined,ERS
60,73,2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,Noida,33.0,2,Joined,INFRA
61,74,2302202,Yes,7,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,Hyderabad,32.0,2,Joined,INFRA
62,76,2322849,Yes,19,60,E2,50.0,30.5,-13.0,No,No,Male,Agency,10,Chennai,33.0,1,Not Joined,ERS
63,77,2322986,Yes,84,60,E2,42.86,42.86,0.0,No,No,Male,Agency,9,Chennai,33.0,1,Joined,ERS
64,78,2328123,No,28,30,E1,233.33,233.33,0.0,No,No,Male,Direct,3,Bangalore,30.0,6,Joined,ETS
65,80,2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,Chennai,33.0,1,Joined,ERS
66,84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,Chennai,27.0,1,Not Joined,ERS
67,86,2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,Chennai,29.0,1,Joined,ERS
68,87,2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,Chennai,30.0,1,Joined,ERS
69,88,2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,Chennai,37.0,8,Joined,EAS
70,89,2351866,Yes,10,30,E1,-15.32,-15.32,0.0,No,No,Male,Employee Referral,5,Bangalore,29.0,6,Joined,ETS
71,90,2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,Noida,25.0,2,Joined,INFRA
72,92,2352237,No,0,0,E1,11.11,-16.67,-25.0,No,No,Female,Direct,1,Noida,24.0,2,Joined,INFRA
73,94,2354362,Yes,0,0,E1,11.11,-16.67,-25.0,No,No,Female,Direct,1,Noida,23.0,2,Joined,INFRA
74,96,2356737,No,16,30,E1,0.0,-30.46,-30.46,No,No,Male,Direct,1,Bangalore,24.0,1,Joined,ERS
75,98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,Bangalore,31.0,4,Not Joined,BFSI
76,99,2364321,Yes,90,45,E3,150.0,48.5,-40.6,No,No,Female,Direct,10,Bangalore,36.0,1,Joined,ERS
77,100,2364483,Yes,14,30,E1,-13.33,-13.33,0.0,No,No,Male,Direct,2,Noida,29.0,2,Joined,INFRA
78,101,2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,Chennai,32.0,2,Joined,INFRA
79,102,2365129,No,4,30,,42.86,42.86,0.0,No,No,Male,Direct,2,Cochin,24.0,2,Not Joined,INFRA
80,103,2368400,No,0,30,E1,-6.25,-6.25,0.0,No,No,Male,Direct,0,Chennai,32.0,6,Joined,ETS
81,104,2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,Chennai,28.0,1,Joined,ERS
82,106,2372840,Yes,21,30,E1,-25.52,-25.52,0.0,No,No,Male,Direct,1,Chennai,23.0,2,Joined,INFRA
83,108,2377978,No,36,30,E1,77.78,94.44,9.38,No,No,Male,Direct,1,Bangalore,24.0,1,Joined,ERS
84,109,2377993,No,17,30,E1,150.0,250.0,40.0,No,No,Female,Direct,1,Bangalore,27.0,1,Joined,ERS
85,110,2378003,No,0,30,E1,25.0,62.5,30.0,No,No,Male,Direct,2,Bangalore,27.0,1,Joined,ERS
86,112,2378097,Yes,34,30,E1,75.0,75.0,0.0,No,No,Male,Direct,2,Chennai,25.0,1,Joined,ERS
87,113,2378111,No,34,30,E1,0.0,32.81,32.81,No,No,Male,Direct,3,Bangalore,29.0,1,Joined,ERS
88,114,2378829,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,Bangalore,29.0,2,Joined,INFRA
89,115,2382818,Yes,20,30,E2,25.45,12.01,-10.71,No,No,Male,Agency,7,Chennai,41.0,8,Not Joined,EAS
90,116,2383202,No,13,30,E1,50.0,50.0,0.0,No,No,Female,Agency,3,Hyderabad,32.0,1,Joined,ERS
91,117,2398717,No,2,30,E2,79.57,60.99,-10.34,No,No,Male,Agency,7,Bangalore,33.0,1,Joined,ERS
92,118,2400028,Yes,20,30,E2,157.94,158.93,0.38,No,No,Male,Agency,11,Chennai,32.0,1,Not Joined,ERS
93,119,2403871,No,1,30,E1,-45.81,-45.81,0.0,No,No,Male,Direct,1,Hyderabad,26.0,2,Joined,INFRA
94,120,2407721,Yes,6,30,E1,12.5,-53.75,-58.89,No,No,Male,Agency,1,Chennai,27.0,1,Joined,ERS
95,121,2416792,Yes,8,60,E2,33.33,26.67,-5.0,No,No,Male,Direct,7,Chennai,29.0,1,Joined,ERS
96,123,2417836,Yes,42,45,E2,7.37,7.37,0.0,No,No,Male,Employee Referral,4,Bangalore,26.0,7,Joined,AXON
97,124,2419759,Yes,12,60,E1,208.33,208.33,0.0,No,No,Male,Direct,2,Chennai,29.0,1,Joined,ERS
98,125,2424526,Yes,16,90,E2,11.11,-22.22,-30.0,No,No,Male,Agency,9,Chennai,30.0,1,Joined,ERS
99,128,2437820,Yes,14,60,E3,31.43,20.0,-8.7,No,No,Male,Employee Referral,4,Noida,29.0,2,Joined,INFRA
100,129,2440646,Yes,103,45,E2,42.86,42.86,0.0,No,No,Male,Direct,6,Bangalore,35.0,6,Joined,ETS
101,130,2440672,Yes,69,45,E2,62.5,62.5,0.0,No,No,Male,Direct,9,Hyderabad,36.0,6,Joined,ETS
102,131,2440753,Yes,37,30,E2,62.5,37.5,-15.38,No,No,Male,Direct,6,Hyderabad,29.0,6,Not Joined,ETS
103,132,2441165,No,7,30,E2,30.0,60.0,23.08,No,No,Male,Agency,4,Chennai,31.0,2,Joined,INFRA
104,133,2441279,No,2,60,E2,32.53,19.28,-10.0,No,No,Male,Employee Referral,6,Bangalore,31.0,4,Not Joined,BFSI
105,134,2442101,Yes,38,45,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,3,Noida,27.0,2,Joined,INFRA
106,135,2444384,Yes,43,60,E1,37.25,33.33,-2.86,No,No,Male,Direct,3,Chennai,25.0,8,Not Joined,EAS
107,136,2444496,Yes,60,60,E2,38.89,11.11,-20.0,No,No,Male,Direct,6,Bangalore,31.0,6,Not Joined,ETS
108,137,2445042,No,3,30,E2,42.86,42.86,0.0,No,No,Male,Direct,5,Noida,27.0,2,Joined,INFRA
109,139,2452418,Yes,32,30,,45.3,19.66,-17.65,No,Yes,Male,Agency,7,Bangalore,30.0,6,Joined,ETS
110,140,2452436,Yes,23,45,E2,29.11,19.68,-7.3,No,No,Male,Agency,8,Bangalore,34.0,1,Joined,ERS
111,142,2457480,Yes,67,60,E3,25.0,32.68,6.14,No,No,Male,Agency,6,Noida,33.0,2,Joined,INFRA
112,143,2458879,No,5,30,E0,22.22,-60.0,-67.27,No,No,Female,Direct,1,Noida,27.0,1,Joined,ERS
113,145,2461027,No,42,60,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,Noida,30.0,2,Joined,INFRA
114,146,2461696,No,8,30,E1,-30.0,0.0,42.86,No,No,Male,Employee Referral,7,Bangalore,30.0,1,Joined,ERS
115,147,2464247,No,7,30,E2,28.3,28.3,0.0,No,No,Male,Agency,7,Chennai,29.0,2,Not Joined,INFRA
116,148,2464457,Yes,5,30,E1,208.33,150.0,-18.92,No,No,Male,Agency,3,Bangalore,28.0,1,Joined,ERS
117,149,2464782,No,10,30,E3,-25.0,-20.39,6.14,No,No,Male,Agency,13,Chennai,50.0,2,Joined,INFRA
118,150,2468663,No,5,30,E1,51.52,66.67,10.0,No,No,Male,Direct,1,Bangalore,25.0,1,Joined,ERS
119,151,2468764,No,5,30,E1,51.52,70.45,12.5,No,No,Male,Direct,2,Bangalore,24.0,1,Joined,ERS
120,152,2473555,No,12,30,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,4,Noida,31.0,2,Joined,INFRA
121,153,2474614,No,15,0,E3,-11.97,-11.97,0.0,No,Yes,Male,Employee Referral,11,Chennai,35.0,1,Joined,ERS
122,154,2474728,Yes,45,60,E2,25.0,18.75,-5.0,No,No,Male,Direct,7,Bangalore,35.0,4,Not Joined,BFSI
123,155,2474750,No,10,30,E1,250.0,250.0,0.0,No,No,Male,Direct,1,Chennai,23.0,1,Joined,ERS
124,158,2478398,Yes,7,30,E2,323.08,314.53,-2.02,No,No,Male,Agency,4,Noida,31.0,2,Joined,INFRA
125,160,2478695,Yes,7,30,E1,25.0,17.19,-6.25,No,No,Male,Employee Referral,7,Bangalore,31.0,1,Joined,ERS
126,161,2479005,Yes,36,30,E1,133.33,75.0,-25.0,No,No,Female,Agency,3,Chennai,27.0,1,Not Joined,ERS
127,162,2480992,No,2,30,E2,30.0,44.0,10.77,No,No,Male,Direct,7,Noida,31.0,2,Joined,INFRA
128,163,2481514,No,1,0,E1,-14.44,22.22,42.86,No,No,Female,Employee Referral,5,Chennai,30.0,1,Joined,ERS
129,164,2483538,Yes,25,30,E2,-48.05,42.86,175.0,No,No,Male,Direct,5,Noida,30.0,2,Joined,INFRA
130,165,2537835,No,6,30,E2,-40.82,-15.45,42.86,No,No,Male,Agency,6,Chennai,29.0,1,Joined,ERS
131,166,2537925,Yes,47,60,E3,45.83,51.04,3.57,No,No,Male,Agency,10,Noida,34.0,2,Joined,INFRA
132,167,2537986,Yes,21,30,E3,25.0,31.25,5.0,No,No,Female,Employee Referral,16,Kolkata,40.0,2,Not Joined,INFRA
133,169,2544512,Yes,11,30,E2,30.0,80.0,38.46,No,No,Male,Agency,4,Chennai,33.0,2,Joined,INFRA
134,170,2556458,No,4,30,E1,-11.56,-11.56,0.0,No,No,Female,Employee Referral,1,Noida,24.0,2,Joined,INFRA
135,172,2561022,No,7,30,E1,242.86,42.86,-58.33,No,No,Male,Direct,1,Noida,30.0,2,Joined,INFRA
136,173,2561128,No,5,30,E1,42.86,-7.14,-35.0,No,No,Male,Direct,6,Gurgaon,32.0,3,Joined,Healthcare
137,175,2564986,No,4,30,E2,42.86,42.86,0.0,No,No,Male,Agency,5,Noida,37.0,2,Joined,INFRA
138,177,2569520,No,5,30,,-48.25,-48.25,0.0,No,No,Male,Employee Referral,9,Chennai,31.0,2,Joined,INFRA
139,178,2575776,No,11,30,E1,327.35,241.88,-20.0,No,No,Male,Direct,3,Chennai,26.0,1,Joined,ERS
140,179,2576352,No,1,30,E2,42.86,42.86,0.0,No,No,Male,Direct,8,Chennai,31.0,2,Joined,INFRA
141,180,2586163,No,2,30,E1,63.2,70.62,4.55,No,No,Male,Agency,5,Chennai,28.0,1,Joined,ERS
142,181,2586868,Yes,48,30,E3,30.0,80.0,38.46,No,No,Male,Direct,7,Bangalore,31.0,2,Joined,INFRA
143,182,2590178,Yes,74,90,E1,40.15,-1.52,-29.73,No,Yes,Male,Direct,8,Bangalore,35.0,1,Joined,ERS
144,183,2590903,Yes,4,30,E2,3.34,3.34,0.0,No,No,Female,Direct,6,Chennai,31.0,8,Joined,EAS
145,185,2591263,No,3,30,E3,-24.24,-24.24,0.0,No,No,Male,Direct,13,Chennai,36.0,2,Joined,INFRA
146,187,2591495,No,31,30,E1,-25.71,42.86,92.31,No,Yes,Male,Employee Referral,3,Chennai,27.0,1,Joined,ERS
147,188,2593939,No,15,45,E1,65.96,61.49,-2.69,No,No,Male,Direct,4,Chennai,26.0,1,Not Joined,ERS
148,189,2594486,Yes,30,30,E2,-28.57,42.86,100.0,No,No,Male,Direct,5,Chennai,33.0,2,Joined,INFRA
149,190,2594579,No,1,30,E1,-14.97,42.86,68.0,No,No,Female,Direct,2,Gurgaon,27.0,2,Joined,INFRA
150,191,2598011,Yes,8,30,E2,-24.81,42.86,90.0,No,No,Male,Direct,5,Chennai,36.0,2,Joined,INFRA
151,192,2598184,No,3,45,E1,79.17,79.17,0.0,No,No,Female,Direct,3,Noida,27.0,5,Joined,CSMP
152,193,2600880,No,0,30,E3,80.95,52.38,-15.79,No,No,Male,Employee Referral,13,Bangalore,37.0,4,Joined,BFSI
153,195,2605197,No,1,60,E1,40.35,31.58,-6.25,No,No,Female,Employee Referral,1,Noida,25.0,1,Joined,ERS
154,196,2609241,No,44,30,E2,69.23,53.85,-9.09,No,No,Female,Agency,7,Bangalore,33.0,4,Joined,BFSI
155,197,2609287,No,19,60,E3,-31.82,-9.09,33.33,No,No,Male,Direct,10,Bangalore,33.0,1,Not Joined,ERS
156,198,2613516,No,3,30,E2,16.13,-15.81,-27.5,No,No,Female,Employee Referral,9,Bangalore,33.0,1,Not Joined,ERS
157,199,2613742,No,40,30,E1,233.33,233.33,0.0,No,No,Female,Agency,3,Bangalore,26.0,4,Joined,BFSI
158,200,2615966,No,11,30,E1,-29.2,-29.2,0.0,No,No,Female,Employee Referral,3,Hyderabad,26.0,5,Not Joined,CSMP
159,201,2618791,No,1,30,E2,33.33,20.0,-10.0,No,No,Female,Direct,6,Noida,37.0,7,Joined,AXON
160,203,2635381,Yes,20,30,E1,71.43,50.0,-12.5,No,No,Male,Employee Referral,3,Bangalore,27.0,1,Joined,ERS
161,204,2635429,No,1,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,3,Noida,34.0,2,Joined,INFRA
162,205,2635526,Yes,7,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,4,Noida,27.0,2,Joined,INFRA
163,206,2635705,Yes,15,30,E2,8.33,12.75,4.07,No,No,Male,Agency,9,Chennai,33.0,1,Joined,ERS
164,208,2635749,No,35,30,E1,215.32,170.27,-14.29,No,No,Male,Direct,3,Chennai,26.0,1,Joined,ERS
165,210,2778998,No,17,30,E1,233.33,191.67,-12.5,No,No,Male,Agency,4,Chennai,27.0,1,Joined,ERS
166,211,2780352,Yes,58,30,E3,30.43,30.43,0.0,No,No,Male,Agency,10,Bangalore,34.0,1,Joined,ERS
167,213,2780669,Yes,29,60,,33.33,266.67,175.0,No,No,Male,Agency,9,Noida,32.0,1,Not Joined,ERS
168,215,2780903,Yes,69,90,E2,32.53,32.53,0.0,No,No,Male,Direct,3,Noida,26.0,2,Joined,INFRA
169,216,2781322,Yes,6,90,E2,-11.69,-11.69,0.0,No,No,Male,Employee Referral,7,Chennai,32.0,4,Joined,BFSI
170,217,2786502,No,0,30,E2,30.26,35.26,3.84,No,No,Male,Direct,6,Noida,34.0,2,Joined,INFRA
171,218,2790302,Yes,1,30,E3,-12.2,-12.2,0.0,No,No,Male,Employee Referral,10,Hyderabad,36.0,2,Joined,INFRA
172,219,2793776,No,7,90,E2,43.79,36.6,-5.0,No,No,Male,Agency,7,Bangalore,32.0,4,Joined,BFSI
173,221,2794614,No,0,30,E2,72.41,72.41,0.0,No,No,Male,Agency,4,Bangalore,32.0,2,Joined,INFRA
174,222,2795222,Yes,7,30,E2,-24.6,-24.6,0.0,No,No,Male,Direct,5,Chennai,31.0,4,Not Joined,BFSI
175,223,2802356,No,1,30,E1,37.5,-50.0,-63.64,No,No,Male,Employee Referral,1,Noida,24.0,2,Joined,INFRA
176,224,2804650,Yes,17,30,E1,23.08,30.77,6.25,No,No,Male,Employee Referral,2,Bangalore,27.0,1,Joined,ERS
177,227,2807929,No,86,30,E1,-13.19,-13.19,0.0,No,No,Male,Direct,3,Chennai,28.0,4,Joined,BFSI
178,228,2814312,Yes,51,90,E2,42.84,42.84,0.0,No,No,Male,Agency,6,Noida,29.0,2,Joined,INFRA
179,229,2814340,Yes,29,45,E3,37.06,31.58,-4.0,No,No,Male,Employee Referral,5,Chennai,32.0,2,Joined,INFRA
180,230,2814452,Yes,1,30,E2,37.5,35.0,-1.82,No,No,Male,Employee Referral,3,Bangalore,30.0,2,Joined,INFRA
181,231,2819665,Yes,26,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,8,Noida,31.0,2,Joined,INFRA
182,232,2819712,Yes,0,30,E2,15.38,15.38,0.0,No,No,Male,Direct,10,Bangalore,36.0,8,Joined,EAS
183,233,2823905,No,50,60,E2,42.85,42.85,0.0,No,Yes,Male,Employee Referral,5,Noida,29.0,2,Joined,INFRA
184,234,2824103,Yes,39,30,E1,-31.06,-1.52,42.86,No,No,Male,Agency,5,Hyderabad,29.0,1,Joined,ERS
185,235,2826712,Yes,57,60,E2,34.62,25.0,-7.14,No,No,Male,Employee Referral,7,Noida,31.0,2,Joined,INFRA
186,236,2828770,No,0,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,Chennai,26.0,2,Joined,INFRA
187,237,2828841,No,10,30,E2,42.85,42.85,0.0,No,No,Male,Employee Referral,4,Noida,29.0,2,Joined,INFRA
188,239,2834484,Yes,0,30,E1,-12.0,-12.0,0.0,No,No,Male,Agency,1,Gurgaon,24.0,2,Joined,INFRA
189,240,2834603,No,3,90,E1,-16.67,-16.67,0.0,No,No,Male,Direct,4,Chennai,27.0,4,Joined,BFSI
190,241,2839728,No,5,60,E2,-17.07,-14.63,2.94,No,No,Male,Employee Referral,12,Noida,31.0,2,Joined,INFRA
191,242,2840929,Yes,32,30,E2,57.14,114.29,36.36,No,No,Male,Direct,4,Chennai,27.0,2,Joined,INFRA
192,243,2841169,Yes,93,90,E2,44.44,33.33,-7.69,No,Yes,Male,Employee Referral,3,Chennai,28.0,2,Joined,INFRA
193,244,2845533,Yes,30,30,E1,-16.3,19.57,42.86,No,No,Male,Agency,3,Hyderabad,25.0,1,Joined,ERS
194,245,2845929,Yes,55,30,,37.5,25.0,-9.09,No,Yes,Female,Employee Referral,3,Bangalore,25.0,2,Joined,INFRA
195,246,2846059,No,39,45,E3,33.33,236.67,152.5,No,No,Male,Agency,9,Hyderabad,32.0,1,Not Joined,ERS
196,248,2850795,No,12,30,E1,-54.04,-34.34,42.86,No,Yes,Male,Employee Referral,6,Chennai,44.0,4,Joined,BFSI
197,249,2850802,No,3,30,E2,15.55,10.29,-4.55,No,No,Male,Direct,7,Chennai,29.0,1,Joined,ERS
198,251,2861481,No,3,30,E1,114.29,90.48,-11.11,No,No,Male,Agency,3,Chennai,26.0,1,Joined,ERS
199,252,2861532,No,23,30,E1,212.5,160.42,-16.67,No,Yes,Male,Agency,2,Chennai,30.0,1,Joined,ERS
200,254,2861816,No,11,60,E2,69.68,58.37,-6.67,No,No,Male,Direct,6,Chennai,34.0,1,Joined,ERS
201,255,2861873,No,0,30,E2,-36.36,-36.36,0.0,No,No,Male,Direct,9,Chennai,32.0,7,Not Joined,AXON
202,256,2861938,Yes,3,60,E3,35.0,45.0,7.41,No,No,Male,Direct,8,Pune,30.0,2,Not Joined,INFRA
203,257,2863789,No,1,30,E2,29.41,35.29,4.55,No,No,Male,Employee Referral,6,Noida,33.0,7,Joined,AXON
204,258,2865940,Yes,71,60,E3,42.85,42.85,0.0,No,No,Male,Employee Referral,6,Noida,30.0,2,Joined,INFRA
205,260,2866433,Yes,40,60,E2,57.14,39.29,-11.36,No,No,Female,Direct,7,Bangalore,32.0,4,Joined,BFSI
206,262,2926304,No,4,45,E2,41.03,21.79,-13.64,No,No,Male,Direct,7,Bangalore,34.0,4,Not Joined,BFSI
207,263,2930426,Yes,5,45,E1,-25.0,-43.75,-25.0,Yes,No,Male,Direct,2,Chennai,27.0,1,Not Joined,ERS
208,265,2945577,No,56,90,E2,66.08,55.0,-6.67,No,No,Male,Agency,8,Bangalore,30.0,4,Joined,BFSI
209,267,3029497,No,1,30,E2,50.0,58.33,5.56,No,No,Male,Direct,3,Noida,27.0,2,Joined,INFRA
210,268,3029512,Yes,2,60,E2,42.86,42.86,0.0,No,No,Female,Direct,8,Chennai,31.0,2,Joined,INFRA
